[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Quick Recovery (164/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Light Armor Mastery (258/2), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Light Armor Mastery (236/2), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Sprint (230/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Critical Chance (137/3), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill War Cry (78/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Critical Power (193/3), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Majesty (82/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Frenzy (176/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Fist Fury (222/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Rage (94/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Bear Spirit Totem (76/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Puma Spirit Totem (282/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Shadow Sense (294/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Rapid Fire (413/8), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Dead Eye (414/8), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill War Chant (1390/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[19 feb 20:55:37] AUDIT, Player KameKase has invalid skill Zealot (420/2), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[03 mar 15:13:04] AUDIT, Player kametest has invalid skill Majesty (82/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
[03 mar 15:13:04] AUDIT, Player kametest has invalid skill Vampiric Claw (1234/3), class:Spellsinger, Player:kametest[268476245], BROADCAST
[05 mar 18:40:15] AUDIT, Player kametest has invalid skill Curse Gloom (1263/2), class:Spellsinger, Player:kametest[268476245], BROADCAST
[05 mar 18:45:04] AUDIT, Player KameKase has invalid skill Dead Eye (414/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[05 mar 18:50:34] AUDIT, Player kametest has invalid skill Summon Aqua Cubic (1280/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
[05 mar 18:50:34] AUDIT, Player kametest has invalid skill Summon Unicorn Seraphim (1332/2), class:Spellsinger, Player:kametest[268476245], BROADCAST
[05 mar 21:38:48] AUDIT, Player KameKase has invalid skill Guts (139/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[05 mar 21:39:04] AUDIT, Player KameKase has invalid skill Guts (139/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[06 mar 0:23:25] AUDIT, Player KameKase has invalid skill Guts (139/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[06 mar 0:50:27] AUDIT, Player KameKase has invalid skill Guts (139/1), class:Sagittarius, Player:KameKase[268475510], BROADCAST
[06 mar 1:45:54] AUDIT, Player kametest has invalid skill Summon Unicorn Seraphim (1332/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
[06 mar 1:45:54] AUDIT, Player kametest has invalid skill Summon Aqua Cubic (1280/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
[06 mar 1:45:54] AUDIT, Player kametest has invalid skill Light Armor Mastery (258/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
[06 mar 1:53:38] AUDIT, Player kametest has invalid skill Summon Aqua Cubic (1280/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
[06 mar 1:53:38] AUDIT, Player kametest has invalid skill Summon Unicorn Seraphim (1332/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
[06 mar 1:53:38] AUDIT, Player kametest has invalid skill Light Armor Mastery (258/1), class:Spellsinger, Player:kametest[268476245], BROADCAST
